Festival Name,Start Date,End Date,2027 Dates (if applicable),Location,Type,Website,Organiser/Contact ,Contact email ,Contact Phone,Email sent?
93.3 WMMR MMRBQ 2026,5/9/2026,,,"1 Harbour Blvd, Camden, NJ 08103",Music,https://wmmr.com/mmrbq/,WMMR Radio,publicaffairs@wmmr.com / Chuck@wmmr.com,610-667-8500,FALSE
Book Faire at Please Touch Museum,5/9/2026,,,"Please Touch Museum, 4231 Avenue of the Republic, Philadelphia, PA 19131",Family & Kids,https://www.pleasetouchmuseum.org/bookfaire/,Please Touch Museum ,info@pleasetouchmuseum.org,215-581-3181,FALSE
Booze Fest at LG Masters,5/9/2026,,,"Libertee Grounds, 1600 W Girard Ave, Suite C5, Philadelphia, PA 19130",Food & Drink,https://bucketlisters.com/experience/booze-fest-at-lg-masters-tournament?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGn-j_MqV_Hd7r3-g3zHG9EustbzxSSxeBSxyTnz9VYsuXYwq0nOcZzz8gIFzc_aem_t8fyh3Uh1ha9FF8PRLEAaQ,Libertee Grounds,info@liberteegrounds.com,267-324-3487,FALSE
Fiberpalooza,5/9/2026,,,"Philadelphia Guild of Hand Weavers, 3705 Main St, Philadelphia, PA 19127",Arts & Crafts,https://pghw.org/event/fiberpalooza-2026/,Philadelphia Guild of Handweavers,fiberpalooza@pghw.org,,FALSE
Fishtown Fair,5/9/2026,,,"Various Locations Near Girard Avenue and Frankford Avenue Intersection, Philadelphia, PA",Street Fairs,https://www.nowandthenmarketplace.com/,Now and Then Marketplace,stephirwin@grombacher.com,(717) 669-5277,FALSE
Happy 30th Birthday GayBINGO! & Back to School Drive,5/9/2026,,,"1216 Arch St., Floor 6, Philadelphia, PA, 19107",Multi-Genre,https://www.actionwellness.org/join-us/special-events/gaybingo/,Action Wellness,Use contact box,215-981-0088,FALSE
Jinxed Spring Fling,5/9/2026,,,"Jinxed Fishtown, 1331 Frankford Ave, Philadelphia, PA 19125",Arts & Crafts,https://goodthingsphl.com/thing/jinxed-spring-market,Hannah Beier,hannah@hannahbeier.com,,FALSE
Nanny Goat Fest,5/9/2026,,,"American Street from Master to Oxford, Philadelphia, PA",Street Fairs,https://nannygoatfest.com/,Nanny Goat Fest,nannygoatfest@gmail.com,,FALSE
New Hope Pride Fest,5/9/2026,5/17/2026,,"Various around New Hope, PA",Multi-Genre,https://www.newhopecelebrates.com/pridefest/,New Hope Celebrates,info@newhopecelebrates.com / pridefair@newhopecelebrates.com,,FALSE
Northern Liberties Spring Fest,5/9/2026,,,"3rd St., Between Brown and Wildey Streets, Philadelphia, PA 19123",Street Fairs,https://www.explorenorthernliberties.org/springfest/,Northern Liberties Business Improvement District,info@explorenorthernliberties.org,484.604.0572,FALSE
Open Streets Lancaster,5/9/2026,,,"525 Fairview Avenue, Lancaster, PA 17603",Family & Kids,https://lancasterrec.org/openstreets/,Lancaster Recreation Commission,LMateyak@LancasterRec.org / CHaer@LancasterRec.org / SShambaugh@LancasterRec.org / MSchroeder@LancasterRec.org,717-392-2115,FALSE
Rose Day Yacht Party,5/9/2026,,,"101 S Christopher Columbus Blvd, Philadelphia, PA 19106, USA (Sails on Delaware River)",Food & Drink,https://www.instagram.com/p/DXeURRHRtXU/,Kabila Events,kabilaevents@gmail.com,,FALSE
Spring Art Star Craft Bazaar,5/9/2026,5/10/2026,,"Cherry Street Pier, 121 N Christopher Columbus Blvd, Philadelphia, PA 19106",Arts & Crafts,https://www.artstarcraftbazaar.com/about-spring-art-star-craft-bazaar/?utm,Art Star Craft Bazaar,info@artstarphilly.com,484-479-4626,FALSE
Hunting Park Tree Tenders Relaunch Party,5/13/2026,,,"4621 N 5th Street Philadelphia, PA",Seasonal,https://www.instagram.com/p/DXo-z6IFFhR/,Esperanza Housing & Economic Development / Morgan Doyle,mdoyle@esperanza.us,267-710-5265,FALSE
Jazz Town 2026,5/14/2026,5/17/2026,,"1336 Spring Garden St, Philadelphia, PA 19123",Music,https://www.jazzattackswings.com/jazztown?ut,Philadelphia Jazz & Swing Dance Association,kate@jazzattackswings.com / adrienne@jazzattackswings.com,,FALSE
Overbrook Night Market,5/14/2026,,,"Intersection of 63rd St and Lancaster Avenue, Philadelphia, PA",Street Fairs,https://www.theoverbrooknightmarket.com/,The Overbrook Night Market,theoverbrooknightmarket@gmail.com,(215) 473-9007,FALSE
St. Demetrios Greek Food and Wine Festival,5/14/2026,5/17/2026,,"Saint Demetrios Greek Orthodox Church, 229 Powell Lane, Upper Darby PA 19082",Cultural Heritage,https://www.udgreekfest.com/,Saint Demetrios Greek Orthodox Church,festival@saintdemetrios.org,(610) 352-7212,FALSE
Consent Fest,5/16/2026,,,"Clark Park, 4300–4398 Baltimore Ave, Philadelphia, PA 19104",Street Fairs,https://yourempoweredsexuality.org,"Your Empowered Sexuality, Inc.",contact@yestoconsent.org,,FALSE
Fairhill Activators Community Kickoff Day,5/16/2026,,,"412 W Huntingdon St, Philadelphia, PA 19133",Multi-Genre,https://www.instagram.com/p/DYSPAnLA6fK/?igsh=MWQ4YTNrYm51YmJsbw%3D%3D&fbclid=IwY2xjawTXPQ1wZG9mAWV4dG4DYWVtAjEwAHNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR5L565Eq6cgDyGD6sObDYy55SVdB1CJQKmolg8Gw5ZGZJ0IiUqFWzqoNI-g9g_aem_nhzF5X7QoQITkVfusVQupA,Fairhill Activators,friendsoffairhill@gmail.com,,FALSE
Girard Avenue Street Festival,5/16/2026,,,"W Girard Ave between College Ave & 29th St, Philadelphia, PA 19130",Street Fairs,https://www.parktobroad.org/girard?utm,Park to Broad,mail@parktobroad.org,,FALSE
New Hope Pride Parade,5/16/2026,,,"Lambertville, NJ into New Hope, PA",Street Fairs,https://www.newhopecelebrates.com/pridefest/pride-parade/,New Hope Celebrates,parade@newhopecelebrates.com,,FALSE
Philly Wine Fest,5/16/2026,,,"Philadelphia Zoo (Impala Lawn), 3400 W Girard Ave, Philadelphia, PA 19104",Food & Drink,https://www.phillywinefest.com/?utm,"Craft Hospitality, LLC",Use contact box,,FALSE
reFlea Vendor Market,5/16/2026,,,"Old Pine Community Center, 401 Lombard St, Philadelphia, PA 19147",Street Fairs,https://www.eventbrite.com/e/reflea-vendor-market-spring-26-tickets-1984978220291?aff=erelexpmlt,The Resource Exchange,info@theresourceexchange.org,,FALSE
South 9th Street Italian Market Festival,5/16/2026,5/17/2026,,"S 9th St from Fitzwater St to Wharton St, Philadelphia, PA 19147",Street Fairs,https://italianmarketphilly.org/italian-market-festival/?utm,The South 9th Street Italian Market,griffie@italianmarketfestival.com,(215) 278-2903,FALSE
Summer at Courtyard,5/16/2026,,,"300 Block of Catharine St, Philadelphia, PA 19147",Block Parties,https://www.instagram.com/p/DW41lkzmsNp/,Queen Village Neighbors Association,info@qvna.org,,FALSE
The Ave Flea Market and A Taste of Philly Food Truck Fest,5/16/2026,,,"Various near Lancaster Ave, Philadelphia, PA 19131",Street Fairs,https://www.la21philly.org/news-events/upcoming-events/,Lancaster Avenue 21 CDC,la21info@la21philly.org,,FALSE
West Philly Vintage and Antique Market,5/16/2026,,,"Pop-Up Shop, 3610 Lancaster Ave, Philadelphia, PA 19104",Street Fairs,https://westphillybizarre.com/event/vintage-and-antique-market/,West Philly Bizarre,use contact form,,FALSE
Wilmington Street Food Fest,5/16/2026,,,"Tubman Garrett Riverfront Park | Rosa Parks Drive, Wilmington, Delaware
Saturday, May 16th, 2026",Food & Drink,https://www.streetfoodfests.com/event/wilmington/,Street Food Festival,use contact form,,FALSE
Clover Market Bryn Mawr,5/17/2026,10/4/2026,,"7 N. Bryn Mawr Ave, Byn Mawr, PA 19010",Street Fairs,https://theclovermarket.com/pages/brynmawrmarket,Clover Market,helloclovermarket@gmail.com,,FALSE
Green Philly EcoFair,5/17/2026,,,"Cherry Street Pier, 121 N Christopher Columbus Blvd, Philadelphia, PA 19106",Family & Kids,https://greenphl.com/event/ecofair-2025/?utm,Green Philly,contact@greenphilly.com,,FALSE
Jewish Music Fest,5/17/2026,,,Various Locations,Music,https://www.phillyjewishmusic.org/,Philly Jewish Music Festival,info@phillyjewishmusic.org,,FALSE
Devon Horse Show & Country Fair,5/20/2026,5/31/2026,,"23 Dorset Rd, Devon, PA 19333",Multi-Genre,https://www.devonhorseshow.net/?utm,Devon Horse Show & County Fair,countryfair@devonhorseshow.com,,FALSE
Just Believe Festival,5/20/2026,,,"LOVE Park, 1599 John F Kennedy Blvd, Philadelphia, PA 19102",Multi-Genre,https://justbelievefestival.com/,GoBelieve Culture,info@GoBelieveCulture.org / press@justbelievefest.com,(215) 555-0198,FALSE
Spring Thing 2026,5/22/2026,5/24/2026,,"College Settlement Camp, 593 Witmer Road, Horsham, PA 19044",Seasonal,pfs.org,Philadelphia Folksong Society,directors@pfs.org,,FALSE
Bald Birds Brewing Co Spring Market,5/23/2026,,,"250 King Manor Dr. Ste. 300, King of Prussia, PA, 19406",Multi-Genre,https://baldbirdsbrewing.com/upcoming-events-kop/2026/5/22/spring-vendor-market,Bald Birds Brewing Company,meredith@baldbirdsbrewing.com / info@baldbirdsbrewing.com,(570) 865-6346,FALSE
Collingswood May Fair,5/23/2026,,,"Haddon Ave, Collingswood, NJ 08108, United States",Seasonal,https://www.collingswood.com/things_to_do/arts_and_events/may_fair.php,Borough of Collingswood,collingswoodmayfair@gmail.com,856-854-0720,FALSE
Fiesta de Los Jardines,5/23/2026,,,"2248 N Palethorp St, Philadelphia, PA 19133",Cultural Heritage,https://ma.to/event/fiesta-de-los-jardines-25-jul-2026,Norris Neighborhood Square Project,abby@myneighborhoodproject.org,(215) 634-2227,FALSE
Independence BlueCross RiverRink Summer Fest,5/23/2026,5/25/2026,,"101 S Columbus Blvd, Philadelphia, PA 19106",Seasonal,https://www.visitphilly.com/things-to-do/attractions/blue-cross-riverrink-summerfest/?utm,Delaware River Waterfront Corporation,info@drwc.org,,FALSE
Carefree Black Girl Cookout Philly,5/24/2026,,,"One Art Center, 1431-39 N 52nd St Philadelphia, PA 19131 ",Multi-Genre,https://www.carefreeblackgrl.com/,Carefree Black Girl Inc,carefreeblackgirlpodcast@gmail.com ,,FALSE
Carefree Black Girl Philly Cookout,5/24/2026,,,"One Art Center, 1431-39 N 52nd St Philadelphia, PA 19131",Food & Drink,https://www.carefreeblackgrl.com/,"Carefree Black Girl, Inc",Use contact box,,FALSE
Ring it On 5K,5/24/2026,,,"Memorial Park, Fairmount, Philadelphia, PA",Multi-Genre,https://www.ringiton5k.com/,City Fitness,ringiton5k@gmail.com,,FALSE
West Philly Cake Fest,5/24/2026,,,"Pentridge Station, 5116 Pentridge St, Philadelphia, PA, 19143",Food & Drink,https://www.instagram.com/p/DWEwCepANFB/,Florian Francis,DM on instagram,,FALSE
Latino Arts and Film Festival,5/26/2026,7/5/2026,,"Citywide venues. Examples: PhillyCAM, 699 Ranstead St #1, Philadelphia, PA 19106",Film,https://www.phlaff.org/?utm,PHLAFF (program of CultureTrust Greater Philadelphia),info@phlaff.org,,FALSE
ArtPhilly What Now Arts Festival,5/27/2026,7/2/2026,,"Various Venues Throughout Philadelphia, PA",Multi-Genre,https://www.artphilly.org/what-now,ArtPhilly,info@artphilly.org,,FALSE
Celebration of the Roses Festival,5/27/2026,,,"Wyck Historic House and , 6026 Germantown Ave, Philadelphia, PA 19144",Seasonal,https://historicgermantownpa.org/events/wyck-celebration-of-the-roses-festival/,Historic Germantown,programs@historicgermantownpa.org,,FALSE
Philadelphia Reinassance Faire,5/28/2026,5/31/2026,,"Fort Mifflin, 6400 Hog Island Road, Philadelphia, PA 19153",Multi-Genre,https://www.phillyfaire.com,Philadelphia Reinassance Faire,info@phillyfaire.com,,FALSE
Philly Greek Fest,5/28/2026,5/31/2026,,"St. George Greek Orthodox Church, 256 S. 8th Street, Philadelphia, PA 1910",Cultural Heritage,https://www.phillygreekfest.com/,Philly Greek Fest,info@phillygreekfest.com,,FALSE
Annual Lebanese Festival,5/29/2026,5/31/2026,,"Saint Maron Church, 1013 Elssworth Street, Philadelphia, PA",Cultural Heritage,https://www.instagram.com/p/DV6-3NtjQbj/?igsh=bnA3amJsNGdmd3Ju,Saint Maron's Maronite Catholic Church of Philadelphia,saintmaronphiladelphia@hotmail.com,(215) 389-2000,FALSE
Fan Expo Philadelphia,5/29/2026,5/31/2026,,"Pennsylvania Convention Center, 1101 Arch St, Philadelphia, PA 19107",Multi-Genre,https://fanexpohq.com/fanexpophiladelphia/?utm,Fan Expo HQ- Marnie Diehl Event operations director,support@fanexpophiladelphia.zendesk.com,,FALSE
Philadelphia Pride Festival,5/29/2026,6/7/2026,,"1300 Noble St (entrance 1150 Callowhill St), Philadelphia, PA 19123",Street Fairs,https://www.phillypride365.org/,Philly Pride 365,logistics@phillypride365.org,,FALSE
Philly Beer Week,5/29/2026,6/7/2026,,Citywide at participating bars/breweries.,Food & Drink,https://www.phillybeerweek.net/,group of restaurant owners,kory@aversapr.com,,FALSE
Roots Picnic,5/29/2026,5/31/2026,,"TD Pavilion at the Mann, 5201 Parkside Ave, Philadelphia, PA 19131",Music,https://therootspicnic.com/,Live Nation Urban (festival partner),rootspicnicada@gmail.com,,FALSE
Brandywine Pride Picnic,5/30/2026,,,"405 N Walnut St Kennett Square, PA 19348",Street Fairs,https://kennettcollaborative.org/event/brandywine-pride-picnic/,Brandywine Pride,info@kennettcollaborative.org,,FALSE
Noisy Company Block Party,5/30/2026,,,"Forin Cafe at 2041 Coral St in Philadelphia, Pennsylvania",Block Parties,https://www.instagram.com/noisycompany,Noisy Company,DM on instagram,,FALSE
Now + Then Mega Market,5/30/2026,,,"Thunderbird Salvage, 2441 Frankford Ave, Philadelphia, PA 19125",Multi-Genre,https://www.nowandthenmarketplace.com/,Now and Then Marketplace,stephirwin@grombacher.com,(717) 669-5277,FALSE
RNP Fish Fest,5/30/2026,,,"Frankford Boat Launch, Philadelphia, PA",Food & Drink,https://riverfrontnorth.org/event/rnp-fish-fest-2026/,Riverfront North Partnership,info@riverfrontnorth.org,,FALSE
Strawberry Festival at Shady Brook Farm,5/30/2026,5/31/2026,,"931 Stony Hill Rd, Yardley, PA 19067",Seasonal,https://shadybrookfarm.com/pages/strawberry-festival,Shady Brook Farm,familyfun@shadybrookfarm.com,(215) 968-1670,FALSE
West Philly Porchfest,5/30/2026,,,Neighborhood-wide DIY festival on porches across West Philadelphia (generally between the Schuylkill River and the city line; many shows near 48th St & Baltimore Ave),Music,https://www.instagram.com/westphillyporchfest/?hl=en&utm,Decentralized Event - Volunteer Organizers,westphillyporchfest@gmail.com,,FALSE
Annual Historic Rittenhouse Town Fair,5/31/2026,,,"Historic Rittenhouse Town, 208 Lincoln Dr, Philadelphia, PA 19144",Street Fairs,https://rittenhousetown.org/town-fair/?utm,Historic RittenHouse Town,amy@rittenhousetown.org,,FALSE
Philadelphia Oyster House Shuckfest,5/31/2026,,,"Sansom St, Between 15th and 16th Streets, Philadelphia, PA",Food & Drink,https://www.delawareestuary.org/event/shuckfest-2025-2/,Oyster House,sam.mink@oysterhousephilly.com,215-567-7683,FALSE
South Street Plant Swap,6/2/2026,,,"PHS Pop Up Garden at South Street, 1438 South St., Philadelphia, PA 19146",Multi-Genre,https://phsonline.org/events/plant-swap-june-2026-south-street,Pennsylvania Horticultural Society,popupevents@pennhort.org,215.988.8800,FALSE
BalletX Festival at Main,6/4/2026,6/5/2026,,"TD Pavilion at the Mann, 5201 Parkside Ave, Philadelphia, PA 19131",Dance & Theater,https://www.balletx.org/seasons/festival-at-highmark-mann-2026/,"Christine Cox, Artistic & Executive Director",info@balletx.org,215-225-5389,FALSE
Haddon Township Pride,6/4/2026,6/5/2026,,"Haddon Avenue, Haddon Township, NJ",Multi-Genre,https://www.htpride.com/,HT Pride,info@htpride.com,,FALSE
Old City Eats Block Party ,6/4/2026,,,along 2nd Street between Market and Chestnut Streets,Block Parties,https://www.instagram.com/reels/DZDqJmuxcX0/,Old City District,info@oldcitydistrict.org,(215) 592-7929,FALSE
AHF June Fete / Horse and Pony Fair,6/5/2026,,,"2990 Edge Hill Rd, Huntingdon Valley, PA 19006-5025",Multi-Genre,https://junefete.abingtonhealth.org/horse-and-pony-show.html,Abington Health Foundation Women’s Board & Auxiliaries,ahf-womensboard@jefferson.edu,215-481-2500,FALSE
Chinese Lantern Festival,6/5/2026,8/16/2026,,"Franklin Square (6th & Race Sts), Philadelphia, PA 19106",Cultural Heritage,https://phillychineselanternfestival.com/,"Historic Philadelphia, Inc.",info@historicphiladelphia.org,215) 629-4026,FALSE
Foodees Fest Philly ,6/5/2026,6/7/2026,,"18 Lightcap Rd, Pottstown, PA 19464",Food & Drink,https://www.instagram.com/p/DY2Gvmslihh/?igsh=a2thOTB1aHc4bXAy,Foodees Fest,info@foodeesfest.com,(877) 909-FEST (3378),FALSE
Haverford Township Heritage Festival,6/5/2026,,,"Nitre Hall, Karakung Dr, Havertown, PA 19083, United States",Multi-Genre,https://haverfordhistoricalsociety.org/heritage-festival/,Haverford Township Historical Society,festival@haverfordhistoricalsociety.org,484-452-3382,FALSE
Rittenhouse Square Fine Arts Show,6/5/2026,6/7/2026,,"Rittenhouse Square (18th & Walnut Sts, Philadelphia, PA 19103",Arts & Crafts,https://www.rittenhousesquareart.com/,"Rittenhouse Square Fine Arts Association (Chris Buonomo, Managing Director)",info@rittenhousesquareart.com,215) 669-7928,FALSE
Annual Sugar Cane Festival,6/6/2026,,,6th Street and Susquehanna Avenue,Street Fairs,https://apmphila.org/2026-sugar-cane-festival/,"Asociación Puertorriqueños en Marcha, Inc.",marilyn.rodriguez@apmphila.org / info@apmphila.org,267-205-7586 / 267.296.7200,FALSE
Conshohocken Arts Festival and Car Show,6/6/2026,,,"400 Fayette St, Conshohocken, PA 19428-2186, United States",Street Fairs,https://www.conshohockenartsfestival.com/,Destination Conshohocken,Conshohockenartsfestival@gmail.com,,FALSE
Delaware Pride Festival,6/6/2026,,,"Dover Legislative Green, Dover, DE 19901",Multi-Genre,https://www.delawarepride.org/delawarepridefestival2026-1,Delaware Pride Inc,info@delawarepride.org,,FALSE
Delco Pride,6/6/2026,6/13/2026,,"Various, see website",Multi-Genre,https://udtj.org/delcopride,U.D.T.J.,Contact@udtj.org,(717) 918 - 7014      ,FALSE
Fishtown Pride Block Party,6/6/2026,,,1700 block of North Front Street ,Block Parties,https://www.instagram.com/p/DZKzajPjg2q/,Evil Genius Brewing,info@evilgeniusbeer.com / events@evilgeniusbeer.com,(215) 425-6820,FALSE
Moorestown Day 2026,6/6/2026,,,"E Main St, Moorestown, NJ 08057, United States",Street Fairs,https://www.facebook.com/events/s/moorestown-day-2026/883707401347569/?rdid=AUsqfrQLja9XXV5X&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1DphfZ1FA7%2F#,Moorestown Business Association,events@moorestownbusiness.com / info@moorestownbusiness.com,,FALSE
Roxborough Spring Fest,6/6/2026,,,"Ridge Ave from Green Ln to Fountain St, Philadelphia, PA 19128",Street Fairs,https://www.facebook.com/events/1208084161436635,Roxbourogh Development Corporation,info@roxboroughpa.com,,FALSE
Strawberry Festival at Shady Brook Farm,6/6/2026,6/7/2026,,"931 Stony Hill Rd, Yardley, PA 19067",Seasonal,https://shadybrookfarm.com/pages/strawberry-festival,Shady Brook Farm,familyfun@shadybrookfarm.com,(215) 968-1670,FALSE
Culture Clash: Ghana vs Nigeria,6/7/2026,,,"Cherry Street Pier, 121 N. Columbus Blvd, Philadelphia, PA 19106",Cultural Heritage,https://posh.vip/e/ghana-vs-nigeria-culture-clash,Sitdown,ig.reynolds.com@gmail.com,,FALSE
Lansdale Pride Walk and Pride in the Park,6/7/2026,,,"Memorial Park, Lansdale, 100 Hancock St, Lansdale, PA 19446",Multi-Genre,https://montcolgbtbc.org/lansdale-pride-walk-roll-landing-page/,Montgomery County LGBTQ+ Business Council,board@montcolgbtbc.org,,FALSE
Rancocas Woods Summer Block Party,6/7/2026,,,"118 Creek Rd, Mt Laurel, NJ 08054-2084, United States",Block Parties,https://www.facebook.com/events/118-creek-road-mount-laurel-nj-united-states-new-jersey-08054/2026-summer-block-party-beer-garden-farmers-market-opening-day/1259848522191997/,Rancocas Woods Events and Shops,info@rancocaswoodseventsnshops.com,,FALSE
South Street Queer Pride Night Market,6/7/2026,,,"South St, 400 and 500 Blocks",Street Fairs,https://southstreet.com/events/queer-pride-night-market-2026/,South Street District,info@southstreet.com,(215) 413-3713,FALSE
Asian Arts Initiative Block Party,6/8/2026,,,"The Rail Park, 1300 Noble Street, 1150 Callowhill St, Philadelphia, PA 19123",Block Parties,https://asianartsinitiative.org/programs/2026-block-party-at-the-rail-park,Asian Arts Initiative,programs@asianartsinitiative.org / info@asianartsinitiative.org ,(215)-557-0455,FALSE
Break Free Fest,6/12/2026,6/14/2026,,"Day 1: Cousin Danny's, 5001 Market St, Philadelphia, PA 19139 Days 2-3: Ukie Club, 847 N Franklin St, Philadelphia, PA 19123",Music,https://www.instagram.com/breakfreefest,Break Free Fest,DM on instagram,,FALSE
Delaware Contemporary Art Museum Night Market,6/12/2026,,,"The Delaware Contemporary; 200 S. Madison St. Wilmington, DE 19801",Arts & Crafts,https://www.decontemporary.org/upcoming-events/night-market,The Delaware Contemporay,info@decontemporary.org,302-656-6466,FALSE
Doylestown Pride Festival,6/12/2026,6/28/2026,,"Various locations in Doylestown, PA",Multi-Genre,https://www.dtownpride.com/,Doylestown Pride Festival,use contact box,,FALSE
33rd Annual Islamic Heritage Festival,6/13/2026,,,"Cherry Street Pier, 121 N Columbus Blvd, Philadelphia, PA 19106",Cultural Heritage,https://www.instagram.com/p/DWSGaNYierz/,Delaware River Waterfront Corporation,info@drwc.org,,FALSE
6th Annual Books & Community Resource Fair,6/13/2026,,,"Miles Mack Playground, 732 N. 36th St., Philadelphia, PA",Literary,https://www.eventbrite.com/e/literacy-moments-magazine-books-community-fest-tickets-1985248237921?aff=oddtdtcreator&fbclid=IwY2xjawTZ8_BwZG9mAWV4dG4DYWVtAjEwAHNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR7hzke0c70gPs5RNwMg2aZgxXHg023cyJvw1ObdsSSBWSwpxBo4RzRy2NGYjw_aem_TQDFCxrSwofCHYdD8tBt0A&keep_tld=true,Literacy Moments Magazine,literacymoments@gmail.com,484-501-1886,FALSE
B(l)ok Party,6/13/2026,,,"Millflin Street, Between 8th and 9th Streets, Philadelphia, PA",Block Parties,https://www.buildingbok.com/blok-party,Bok Building,hello@buildingbok.com,(215) 419-5121,FALSE
Disability Pride's Party on the Walkway,6/13/2026,,,"1600–1800 Benjamin Franklin Pkwy, Philadelphia, PA 19103",Multi-Genre,https://www.disabilitypridepa.org/philadelphia,Disability Pride Pennsylvania,info@DisabilityPridePA.org,267) 788-5946,FALSE
Philadelphia Veg Fest,6/13/2026,,,"Girard College, Philadelphia, PA",Food & Drink,https://www.phillyvegfest.com/,Philadelphia VegFest,info@phillyvegfest.com,(484) 808-7066,FALSE
Phoenixville Art Street Festival,6/13/2026,,,"100 and 200 block of Bridge St., Phoenixville PA 19460",Street Fairs,https://phoenixvilleartstreetfestival.com/,"Phoenixville Art, Street Festival",shainasellshouses@gmail.com,,FALSE
Wayne Music Festival,6/13/2026,,,"120 N. Wayne Ave, Wayne, PA, United States, Pennsylvania 19087",Music,https://waynemusicfestival.com/,Wayne Music Festival,info@waynemusicfestival.com,,FALSE
West Park Arts Fest,6/13/2026,,,"5114 Parkside Ave, Philadelphia, PA 19131",Arts & Crafts,https://westparkcultural.org/arts-fest/,West Park Cultural Center,info@westparkcultural.org,215) 473-7810,FALSE
Juneteenth Jubilee at Bartram's Garden,6/14/2026,,,"Bartram's Garden at 5400 Lindbergh Boulevard, Philadelphia, PA",Cultural Heritage,https://july4thphilly.com/event/juneteenth/,Bartram's Garden,info@bartramsgarden.org,(215) 729-5281,FALSE
Northeast Philly Beer Fest,6/14/2026,,,"Cannstatter Volksfest Verein, 9130 Academy Rd, Philadelphia, PA 19114",Food & Drink,https://do215.com/events/2026/6/14/northeast-philly-beer-and-drink-festival-tickets#,Cannstatter Volksfest Verein,info@cannstatter.org,215-332-0121,FALSE
Odunde Festival,6/14/2026,,,15-block footprint centered at 23rd & South Sts (to Grays Ferry Ave & Catherine St).,Cultural Heritage,https://www.odundefestival.org/,"ODUNDE, Inc.",odundefestival@gmail.com,267) 320-4364,FALSE
Pride on Passyunk,6/14/2026,,,"Around 1728 E Passyunk Ave, Philadelphia, PA 19148",Multi-Genre,https://www.instagram.com/prideonpassyunk/,Spellbound Studio,spellboundstudiophilly@gmail.com,267-717-5835,FALSE
Reggae in the Park,6/14/2026,,,"Delaware Park Casino, 777 Delaware Park Blvd, Wilmington, DE 19804",Music,https://www.reggaeintheparkdelaware.com/de-reggae-coalition,Delaware Reggae Coalition,info@reggaeinthepark.com,,FALSE
United We Heal Film Festival,6/18/2026,6/19/2026,,"Underground Arts, 1200 Callowhill St, Philadelphia, PA 19107",Film,https://filmfreeway.com/UnitedWeHealFilmFestival,United We Heal Film Festival,shortandsweetfilms@gmail.com,610-400-5445,FALSE
Burlington Hot Air Balloon Festival,6/19/2026,6/20/2026,,"Burlington County Fairgrounds 1990 Jacksonville Jobstown Rd , Columbus, NJ,",Multi-Genre,balloonshows.com,Burlington Hot Air Balloon Festival,cs@balloonshows.com,(678) 701-6114,FALSE
Eastern State Penitentiary Juneteenth Festival,6/19/2026,,,"Eastern State Penitentiary, 2027 Fairmount Avenue, Philadelphia, PA 19130",Cultural Heritage,https://easternstate.org/events/series/a-timeforliberty-our-shared-history-our-shared-future/juneteenth-festival,"Eastern State Penitentiary Historic Site, Inc.",info@easternstate.org,(215) 236-3300,FALSE
Millenial Juneteenth Festival,6/19/2026,,,"Kingessing Rec Center, Philadelphia, PA",Cultural Heritage,https://mjphilly1865.org/,Millennial Juneteenth,millennialjuneteenth@gmail.com,,FALSE
Wawa Welcome America Festival,6/19/2026,7/4/2026,,"Citywide, with the July 4th concert on the Benjamin Franklin Parkway",Street Fairs,https://welcomeamerica.com/,"Welcome America, Inc",information@welcomeamerica.com,,FALSE
4th Street Summer Solstice Festival,6/20/2026,,,"4th Street, Between Lombard and Catharine Streets",Seasonal,https://southstreet.com/events/summer-solstice-festival-2026/,South Street District,info@southstreet.com,(215) 413-3713,FALSE
Ambler Arts and Music Festival,6/20/2026,,,"Butler Avenue, Ambler, PA",Multi-Genre,https://amblerfest.org/2025-arts-fest/,Ambler Art and Music Festival,manager@amblermainstreet.org,,FALSE
Chester County Pride Fest,6/20/2026,,,"Bridge St., Phoenixville, PA",Multi-Genre,https://www.lgbteachesco.org/event-details/pridefest,The LGBT Equality Alliance of Chester County,info@lgbteachesco.org,,FALSE
Clark Park Music and Arts Festival,6/20/2026,,,"Clark Park (around 43rd & Chester Ave / Baltimore Ave, Philadelphia, PA 19104",Multi-Genre,https://www.instagram.com/clarkparkfest?igsh=MTNobTA2ZGpudndqZw==,Clark Park Music & Arts Festival committee,clarkparkfest@gmail.com,240) 257-5775,FALSE
Father’s Love Hip Hop Block Party,6/20/2026,,,4862 Parkside Avenue,Block Parties,https://phillyhiphopfoundation.org/fathers-love-hip-hop-block-party,The Hip Hop Foundation Of Philadelphia,hiphop@phillyhiphopfoundation.org,(215) 398-2144,FALSE
Fishtown Beer Fest,6/20/2026,,,Various Participating Locations Throughout Fishtown Neighborhood,Food & Drink,https://evilgeniusbeer.com/calendar/,Evil Genius Beer Co.,info@evilgeniusbeer.com,215) 425-6820,FALSE
